Business Date,Business Hour,Location Name,Net Sales Total  (Sum),Number of Guests  (Sum)
6/10/2019,8:00 AM - 8:59 AM,3,45.22,2
6/10/2019,9:00 AM - 9:59 AM,3,0,0
6/10/2019,11:00 AM - 11:59 AM,3,85.05,5
6/10/2019,3:00 PM - 3:59 PM,3,45,2
6/10/2019,4:00 PM - 4:59 PM,3,57.37,10
6/10/2019,8:00 PM - 8:59 PM,3,301.86,11
6/10/2019,8:00 PM - 8:59 PM,3,242.48,5
6/10/2019,9:00 PM - 9:59 PM,3,36.27,6
6/10/2019,8:00 AM - 8:59 AM,3,0,0
6/10/2019,10:00 AM - 10:59 AM,3,34.37,2
6/10/2019,1:00 PM - 1:59 PM,3,84.3,5
6/10/2019,5:00 PM - 5:59 PM,3,181.55,5
6/10/2019,5:00 PM - 5:59 PM,3,275.06,20
6/10/2019,7:00 PM - 7:59 PM,3,454.87,17
6/10/2019,9:00 PM - 9:59 PM,3,64.79,7
6/10/2019,10:00 PM - 10:59 PM,3,0,1
6/10/2019,10:00 PM - 10:59 PM,3,0,0
6/10/2019,9:00 AM - 9:59 AM,3,43.22,3
6/10/2019,12:00 PM - 12:59 PM,3,185.13,18
6/10/2019,2:00 PM - 2:59 PM,3,5.14,2
6/10/2019,11:00 PM - 11:59 PM,3,-31.46,1
6/10/2019,8:00 AM - 8:59 AM,3,0,0
6/10/2019,10:00 AM - 10:59 AM,3,33.22,2
6/10/2019,11:00 AM - 11:59 AM,3,93.69,1
6/10/2019,12:00 PM - 12:59 PM,3,94.01,13
6/10/2019,3:00 PM - 3:59 PM,3,80.79,7
6/10/2019,4:00 PM - 4:59 PM,3,62.71,4
6/10/2019,7:00 PM - 7:59 PM,3,391.46,10
6/10/2019,7:00 PM - 7:59 PM,3,493.04,23
6/10/2019,9:00 AM - 9:59 AM,3,7.19,0
6/10/2019,10:00 AM - 10:59 AM,3,9.5,2
6/10/2019,12:00 PM - 12:59 PM,3,534.07,24
6/10/2019,1:00 PM - 1:59 PM,3,63.96,11
6/10/2019,2:00 PM - 2:59 PM,3,54.55,3
6/10/2019,3:00 PM - 3:59 PM,3,-84.86,1
6/10/2019,6:00 PM - 6:59 PM,3,184.19,6
6/10/2019,6:00 PM - 6:59 PM,3,433.71,26
6/10/2019,6:00 PM - 6:59 PM,3,448.6,25
6/10/2019,7:00 PM - 7:59 PM,3,506.67,26
6/10/2019,9:00 PM - 9:59 PM,3,178.01,2
6/10/2019,9:00 PM - 9:59 PM,3,34.48,0
6/10/2019,10:00 PM - 10:59 PM,3,0,0
6/10/2019,10:00 AM - 10:59 AM,3,83.47,6
6/10/2019,11:00 AM - 11:59 AM,3,9.49,2
6/10/2019,1:00 PM - 1:59 PM,3,171.81,9
6/10/2019,5:00 PM - 5:59 PM,3,183.25,14
6/10/2019,5:00 PM - 5:59 PM,3,272.05,11
6/10/2019,6:00 PM - 6:59 PM,3,275.62,13
6/10/2019,8:00 AM - 8:59 AM,3,84.83,6
6/10/2019,9:00 AM - 9:59 AM,3,21.23,5
6/10/2019,11:00 AM - 11:59 AM,3,65.44,0
6/10/2019,1:00 PM - 1:59 PM,3,237.65,12
6/10/2019,2:00 PM - 2:59 PM,3,241.88,7
6/10/2019,2:00 PM - 2:59 PM,3,-12.4,2
6/10/2019,3:00 PM - 3:59 PM,3,139.75,6
6/10/2019,4:00 PM - 4:59 PM,3,98.82,0
6/10/2019,8:00 PM - 8:59 PM,3,368.02,11
6/10/2019,8:00 PM - 8:59 PM,3,173.12,5
6/10/2019,12:00 PM - 12:59 PM,3,316.41,9
6/10/2019,4:00 PM - 4:59 PM,3,21.78,0
6/11/2019,8:00 AM - 8:59 AM,3,54.16,1
6/11/2019,10:00 AM - 10:59 AM,3,3.69,3
6/11/2019,10:00 AM - 10:59 AM,3,32.78,0
6/11/2019,3:00 PM - 3:59 PM,3,13.69,0
6/11/2019,5:00 PM - 5:59 PM,3,184.04,6
6/11/2019,7:00 PM - 7:59 PM,3,611.41,26
6/11/2019,7:00 AM - 7:59 AM,3,27.88,2
6/11/2019,7:00 AM - 7:59 AM,3,26.86,1
6/11/2019,8:00 AM - 8:59 AM,3,0,0
6/11/2019,9:00 AM - 9:59 AM,3,75.93,4
6/11/2019,12:00 PM - 12:59 PM,3,394.68,21
6/11/2019,1:00 PM - 1:59 PM,3,164.08,12
6/11/2019,3:00 PM - 3:59 PM,3,27.84,3
6/11/2019,3:00 PM - 3:59 PM,3,70.68,2
6/11/2019,4:00 PM - 4:59 PM,3,75.49,1
6/11/2019,7:00 PM - 7:59 PM,3,272.19,12
